timestamp, cst_code, remote_beacon_id
1731178750813534430, 52, 3
1731178756419855328, 52, 2
1731178764075263901, 52, 2
1731178766010353358, 52, 3
1731178779182379617, 52, 2
1731178781117421175, 52, 3
1731178786732278460, 52, 2
1731178788667498576, 52, 3
1731178792428426230, 52, 5
1731178794362975972, 52, 2
1731178796298313661, 52, 3
1731178797305786162, 53, 4
1731178799240926315, 52, 5
1731178801175359441, 52, 2
1731178805056409438, 52, 4
1731178808835650865, 52, 2
1731178810770316959, 52, 3
1731178816377770062, 52, 2
1731178818312806532, 52, 3
1731178823920569052, 52, 2
1731178825855480253, 52, 3
1731178831452231990, 52, 2
1731178838997368951, 52, 2
1731178846548105986, 52, 2
1731178854090278064, 52, 2
1731178861651329178, 52, 2
1731178869214863749, 52, 2
1731178876765512019, 52, 2
1731178877901515861, 53, 3
1731178879836202856, 52, 4
1731178883613017985, 52, 2
1731178885547957109, 52, 3
1731178891154001440, 52, 2
1731178893088905251, 52, 3
1731178898696225273, 52, 2
1731178906261345398, 52, 2
1731178913818973618, 52, 2
1731178915513662512, 53, 3
1731178917448840240, 52, 4
1731178919383970405, 52, 5
1731178921318596812, 52, 2
1731178923253797728, 52, 3
1731178925188660708, 52, 4
1731178928983396632, 52, 2
1731178932865681418, 52, 4
1731178934800642898, 52, 5
1731178936735099491, 52, 2
1731178938670269454, 52, 3
1731178944311629054, 52, 2
1731178946246264457, 52, 3
1731178951884396035, 52, 2
1731178953818943251, 52, 3
1731178959462300944, 52, 2
1731178961397298175, 52, 3
1731178967049212709, 52, 2
1731178968983923118, 52, 3
1731178974628071094, 52, 2
1731178976562666908, 52, 3
1731178982186330431, 52, 2
1731178989721587704, 52, 2
1731178997238672100, 52, 2
1731178998374080327, 53, 3
1731179000309448987, 52, 4
1731179004056209349, 52, 2
1731179007935947363, 52, 4
1731179011681405890, 52, 2
1731179015562683986, 52, 4
1731179019316725597, 52, 2
1731179023192175384, 52, 4
1731179026951076517, 52, 2
1731179028086237738, 53, 3
1731179030021024129, 52, 4
1731179033777157942, 52, 2
1731179034896803510, 53, 3
1731179036831232484, 52, 4
1731179040593413368, 52, 2
1731179044452657320, 52, 4
1731179048212436182, 52, 2
1731179052082279723, 52, 4
1731179055844054183, 52, 2
1731179059715273999, 52, 4
1731179063474828288, 52, 2
1731179067333693203, 52, 4
1731179071092726304, 52, 2
1731179074944666283, 52, 4
1731179078706951065, 52, 2
1731179082549802099, 52, 4
1731179086312891666, 52, 2
1731179090140013983, 52, 4
1731179093911421915, 52, 2
1731179097733460406, 52, 4
1731179101512232090, 52, 2
1731179105329713284, 52, 4
1731179109108696407, 52, 2
1731179112916159710, 52, 4
1731179116706013805, 52, 2
1731179120507855703, 52, 4
1731179124302936970, 52, 2
1731179128098373317, 52, 4
1731179131907173558, 52, 2
1731179135701176119, 52, 4
1731179139509971774, 52, 2
1731179143295747189, 52, 4
1731179147106773604, 52, 2
1731179150882685117, 52, 4
1731179154707954540, 52, 2
1731179162298404228, 52, 2
1731179169900822585, 52, 2
1731179177525022191, 52, 2
1731179185145567554, 52, 2
1731179192787901603, 52, 2
1731179200438872170, 52, 2
1731179203411242744, 53, 4
1731179205346360760, 52, 5
1731179207281236302, 52, 2
1731179211027636693, 52, 4
1731179212962071594, 52, 5
1731179214897176920, 52, 2
1731179218656188259, 52, 4
1731179220591434975, 52, 5
1731179222525984974, 52, 2
1731179226286002903, 52, 4
1731179228221337002, 52, 5
1731179230156280691, 52, 2
1731179233929406751, 52, 4
1731179235864166718, 52, 5
1731179237798839943, 52, 2
1731179241569086297, 52, 4
1731179243503766393, 52, 5
1731179245439154821, 52, 2
1731179247374207160, 52, 3
1731179249309029851, 52, 4
1731179251243581285, 52, 5
1731179253178759243, 52, 2
1731179256969157384, 52, 4
1731179258904118278, 52, 5
1731179260838614075, 52, 2
1731179264633600660, 52, 4
1731179266568884217, 52, 5
1731179268503446510, 52, 2
1731179272298713363, 52, 4
1731179274233295164, 52, 5
1731179276168637532, 52, 2
1731179279962109513, 52, 4
1731179281897587155, 52, 5
1731179283832182895, 52, 2
1731179285767254049, 52, 3
1731179287702049295, 52, 4
1731179289637112328, 52, 5
1731179291571979746, 52, 2
1731179293506806643, 52, 3
1731179295441844516, 52, 4
1731179297377305224, 52, 5
1731179299312171837, 52, 2
1731179303086936513, 52, 4
1731179305022264572, 52, 5
1731179306956677913, 52, 2
1731179308892111864, 52, 3
1731179310075089868, 53, 4
1731179312010384185, 52, 5
1731179313945353225, 52, 2
1731179317714400177, 52, 4
1731179319649106252, 52, 5
1731179321584194321, 52, 2
1731179338250391283, 52, 2
1731179347016659240, 52, 5
1731179349958998286, 52, 2
1731179358714669013, 52, 5
1731179361656651905, 52, 2
1731179370382395086, 52, 5
1731179373324741731, 52, 2
1731179382046539274, 52, 5
1731179384989022195, 52, 2
1731179393706289182, 52, 5
1731179396648934231, 52, 2
1731179405363129030, 52, 5
1731179408305560696, 52, 2
1731179417020569191, 52, 5
1731179419963440019, 52, 2
1731179428680140140, 52, 5
1731179431623181680, 52, 2
1731179440336297020, 52, 5
1731179443278339979, 52, 2
1731179451999635209, 52, 5
1731179454942505063, 52, 2
1731179463658462789, 52, 5
1731179466600913439, 52, 2
1731179468791625832, 53, 3
1731179474627709047, 52, 5
1731179477570085809, 52, 2
1731179486270473928, 52, 5
1731179489213300229, 52, 2
1731179497913385499, 52, 5
1731179500855652214, 52, 2
1731179509558595412, 52, 5
1731179512500962260, 52, 2
1731179521200598858, 52, 5
1731179524142751401, 52, 2
1731179532841979630, 52, 5
1731179535784463345, 52, 2
1731179538727059800, 52, 3
1731179544479633944, 52, 5
1731179547422360234, 52, 2
1731179556122235088, 52, 5
1731179559065259801, 52, 2
1731179567784092986, 52, 5
1731179570726388316, 52, 2
1731179579433711333, 52, 5
1731179582376669976, 52, 2
1731179593937167832, 52, 2
1731179605505623286, 52, 2
1731179617084458428, 52, 2
1731179628681176687, 52, 2
1731179634513731458, 52, 4
1731179640339847681, 52, 2
1731179651944107647, 52, 2
1731179663564628856, 52, 2
1731179675208536901, 52, 2
1731179686843422113, 52, 2
1731179698516655940, 52, 2
1731179710227029843, 52, 2
1731179716013512464, 52, 4
1731179718955631900, 52, 5
1731179721898317813, 52, 2
1731179723929189711, 53, 3
1731179732829750709, 52, 2
1731179738629594615, 52, 4
1731179741571956527, 52, 5
1731179744513996024, 52, 2
1731179747456441040, 52, 3
1731179750398977922, 52, 4
1731179753341231375, 52, 5
1731179756283796713, 52, 2
1731179759226180251, 52, 3
1731179762168687681, 52, 4
1731179765110939471, 52, 5
1731179768053865546, 52, 2
1731179773868588554, 52, 4
1731179776810534631, 52, 5
1731179779753266924, 52, 2
1731179785574249526, 52, 4
1731179788516052501, 52, 5
1731179791459121609, 52, 2
1731179794401041181, 52, 3
1731179803428774668, 52, 2
1731179815312255635, 52, 2
1731179824171291677, 52, 5
1731179827113487687, 52, 2
1731179835943506539, 52, 5
1731179838886219241, 52, 2
1731179844696141733, 52, 4
1731179847637959883, 52, 5
1731179850580754736, 52, 2
1731179853522826567, 52, 3
1731179856465371843, 52, 4
1731179862384412576, 52, 2
1731179868190135943, 52, 4
1731179871132689662, 52, 5
1731179874074650270, 52, 2
1731179882852932934, 52, 5
1731179885795404567, 52, 2
1731179897500924216, 52, 2
1731179909185085030, 52, 2
1731179920847783014, 52, 2
1731179932494223475, 52, 2
1731179944138807859, 52, 2
1731179955753797357, 52, 2
1731179967368540557, 52, 2
1731179978969380792, 52, 2
1731180012954743776, 53, 2
1731180030489630154, 52, 4
1731180039278544188, 52, 3
1731180081980148715, 53, 2
1731180093621131815, 52, 2
1731180105258645088, 52, 2
1731180116910845856, 52, 2
1731180128576983378, 52, 2
1731180133571573787, 53, 4
1731180139440497947, 52, 2
1731180151136098019, 52, 2
1731180156952499902, 52, 4
1731180162842642868, 52, 2
1731180165785471845, 52, 3
1731180168727780868, 52, 4
1731180174626211801, 52, 2
1731180180435143504, 52, 4
1731180183377437199, 52, 5
1731180186319904234, 52, 2
1731180192129020758, 52, 4
1731180195070986972, 52, 5
1731180198013538940, 52, 2
1731180203831393778, 52, 4
1731180206773810147, 52, 5
1731180209716172888, 52, 2
1731180212658588892, 52, 3
1731180215601313363, 52, 4
1731180221546068307, 52, 2
1731180227370505804, 52, 4
1731180230313016227, 52, 5
1731180233255703726, 52, 2
1731180239087214048, 52, 4
1731180242029487294, 52, 5
1731180244972348972, 52, 2
1731180247914307536, 52, 3
1731180250856913168, 52, 4
1731180253799554811, 52, 5
1731180256741555228, 52, 2
1731180262592234747, 52, 4
1731180268560460404, 52, 2
1731180280465072392, 52, 2
1731180289318585507, 52, 5
1731180292261420410, 52, 2
1731180298108020344, 52, 4
1731180301050455356, 52, 5
1731180303992791985, 52, 2
1731180306071953797, 53, 3
1731180309014298790, 52, 4
1731180311956266385, 52, 5
1731180314899174208, 52, 2
1731180317841486681, 52, 3
1731180323755027091, 52, 5
1731180326697633254, 52, 2
1731180338448182130, 52, 2
1731180350174593893, 52, 2
1731180361889553612, 52, 2
1731180373599937825, 52, 2
1731180381533615133, 53, 5
1731180384475872751, 52, 2
1731180395290392399, 53, 2
1731180406955978211, 52, 2
1731180418616607501, 52, 2
1731180430272641163, 52, 2
1731180441931005880, 52, 2
1731180444873763258, 52, 3
1731180453575579304, 52, 2
1731180456518123766, 52, 3
1731180468175218534, 52, 3
1731180471117422445, 52, 4
1731180474059549836, 52, 5
1731180479949221753, 52, 3
1731180482891795306, 52, 4
1731180488748815042, 52, 2
1731180491691243358, 52, 3
1731180500409441350, 52, 2
1731180523757653238, 52, 2
1731180529639101030, 52, 4
1731180534761169422, 53, 2
1731180540632299364, 52, 4
1731180546490364461, 52, 2
1731180552347868660, 52, 4
1731180558221413445, 52, 2
1731180564075401037, 52, 4
1731180569954270945, 52, 2
1731180575802793908, 52, 4
1731180578745539368, 52, 5
1731180581688052104, 52, 2
1731180587529184434, 52, 4
1731180593424554020, 52, 2
1731180599266284897, 52, 4
1731180605171219154, 52, 2
1731180611012853820, 52, 4
1731180613955049775, 52, 5
1731180616897422992, 52, 2
1731180622734421157, 52, 4
1731180625676734294, 52, 5
1731180628619293237, 52, 2
1731180634460864187, 52, 4
1731180637403674925, 52, 5
1731180639418247681, 53, 2
1731180642360386523, 52, 3
1731180645303159455, 52, 4
1731180651086101358, 53, 2
1731180656922580008, 52, 4
1731180662867295454, 52, 2
1731180674782998345, 52, 2
1731180686656326595, 52, 2
1731180692503966421, 52, 4
1731180698439811075, 52, 2
1731180704291901100, 52, 4
1731180707234175400, 52, 5
1731180710176466859, 52, 2
1731180716034318129, 52, 4
1731180718977097517, 52, 5
1731180720975582563, 53, 2
1731180723917856127, 52, 3
1731180726860346841, 52, 4
1731180729803153767, 52, 5
1731180732745552388, 52, 2
1731180738608441908, 52, 4
1731180741550386838, 52, 5
1731180744493036676, 52, 2
1731180750356875101, 52, 4
1731180753299180333, 52, 5
1731180756242003943, 52, 2
1731180762108524640, 52, 4
1731180765051116408, 52, 5
1731180767993400166, 52, 2
1731180770935316529, 52, 3
1731180773877838155, 52, 4
1731180779767099512, 52, 2
1731180782709190219, 52, 3
1731180785651883451, 52, 4
1731180791539058365, 52, 2
1731180803286346206, 52, 2
1731180815019486178, 52, 2
1731180826746128303, 52, 2
1731180828889662800, 53, 3
1731180830968389073, 53, 4
1731180836840247115, 52, 2
1731180839782136064, 52, 3
1731180841861113135, 53, 4
1731180847732168990, 52, 2
1731180859448045393, 52, 2
1731180861590410373, 53, 3
1731180870299859659, 52, 2
1731180881929702050, 52, 2
1731180884072689369, 53, 3
1731180997239860732, 52, 2
1731181008805199112, 52, 2
1731181049650443957, 52, 4
1731181067058821264, 52, 2
1731181109629417733, 53, 5
1731181147373135866, 52, 2
1731181156118048178, 52, 5
1731181159060965049, 52, 2
1731181170744285470, 52, 2
1731181182420270261, 52, 2
1731181194096103493, 52, 2
1731181202837344433, 52, 5
1731181205779466553, 52, 2
1731181226208457534, 52, 5
1731181232074595541, 52, 3
1731181235016815723, 52, 4
1731181237959439753, 52, 5
1731181240901172735, 52, 2
1731181243843718811, 52, 3
1731181246786011611, 52, 4
1731181249728814239, 52, 5
1731181252670896818, 52, 2
1731181255613296796, 52, 3
1731181258539941012, 52, 4
1731181261481868893, 52, 5
1731181264424456119, 52, 2
1731181267367073470, 52, 3
1731181270309581117, 52, 4
1731181276252563701, 52, 2
1731181279195046508, 52, 3
1731181282137266935, 52, 4
1731181288091263374, 52, 2
1731181296169805423, 53, 5
1731181299111657278, 52, 2
1731181304935461670, 52, 4
1731181307878323751, 52, 5
1731181310820610429, 52, 2
1731181312883662130, 53, 3
1731181315825566669, 52, 4
1731181318768126809, 52, 5
1731181321710574607, 52, 2
1731181324653285664, 52, 3
1731181327595497312, 52, 4
1731181329754188334, 53, 5
1731181332697046210, 52, 2
1731181344435369666, 52, 2
1731181364862194975, 52, 5
1731181367804896397, 52, 2
1731181372811342757, 53, 4
1731181378722869918, 52, 2
1731181381665514933, 52, 3
1731181384607916784, 52, 4
1731181387550207276, 52, 5
1731181390492488504, 52, 2
1731181393434701059, 52, 3
1731181396377368460, 52, 4
1731181399319700360, 52, 5
1731181401350210435, 53, 2
1731181404293132081, 52, 3
1731181407011437789, 53, 4
1731181409954022389, 52, 5
1731181412896743978, 52, 2
1731181418751139076, 52, 4
1731181421693903341, 52, 5
1731181424636186628, 52, 2
1731181426586719619, 53, 3
1731181429529027508, 52, 4
1731181432472068182, 52, 5
1731181435414420097, 52, 2
1731181438356866277, 52, 3
1731181441298759982, 52, 4
1731181444241089114, 52, 5
1731181447183699931, 52, 2
1731181452977494469, 52, 4
1731181455920192122, 52, 5
1731181458862295018, 52, 2
1731181463850710047, 53, 4
1731181469737716213, 52, 2
1731181484323509293, 52, 3
1731181492319139457, 53, 2
1731181504014373413, 52, 2
1731181512783339719, 52, 5
1731181515726005085, 52, 2
1731181521540259800, 52, 4
1731181524467054318, 52, 5
1731181526497534946, 53, 2
1731181529440097379, 52, 3
1731181532366337362, 52, 4
1731181535309118128, 52, 5
1731181538251791248, 52, 2
1731181544106321387, 52, 4
1731181547048980205, 52, 5
1731181549991116358, 52, 2
1731181555027786333, 53, 4
1731181557969848171, 52, 5
1731181560912613903, 52, 2
1731181566732489707, 52, 4
1731181572614147184, 52, 2
1731181584278896075, 52, 2
1731181595915328474, 52, 2
1731181630759763699, 52, 2
1731181642447564496, 52, 2
1731181645390017224, 52, 3
1731181654230836304, 52, 2
1731181657173543209, 52, 3
1731181660116011766, 52, 4
1731181663058368667, 52, 5
1731181666000387016, 52, 2
1731181677716667643, 52, 2
1731181689398347627, 52, 2
1731181701763272599, 53, 2
1731181713373327490, 52, 2
1731181727899979104, 52, 3
1731181748222038630, 52, 2
1731181771486698253, 52, 2
1731181774429379743, 52, 3
1731181777371417882, 52, 4
1731181780314255229, 52, 5
1731181783256186687, 52, 2
1731181789136955533, 52, 4
1731181794994734263, 52, 2
1731181806667752389, 52, 2
1731181818304476619, 52, 2
1731181829898200152, 52, 2
1731181841476900972, 52, 2
1731181876215877898, 52, 2
1731181887846042134, 52, 2
1731181899555447348, 52, 2
1731181902497446887, 52, 3
1731181911281120814, 52, 2
1731181922949760419, 52, 2
1731181947095486628, 53, 2
1731182004939633501, 52, 2
1731182051421813571, 52, 2
1731182054364059725, 52, 3
1731182063089574178, 52, 2
1731182109446143662, 52, 2
1731182111557328884, 53, 3
1731182128901720937, 52, 5
1731182143456215943, 52, 2
